pseudonym,Name,url,action/practices,Type,practices try to impact directly...,active across one...,name of place,part of group / network / ...,public contact,notes
,Dach vernetzung gegen feminizid,https://dach-stoppt-feminizid.net/,"network meetings, online coordination, compiling organising resources",federation/coalition/networking,international region,international region,"Germany, Austria, Switzerland",,,
006780491415,Stoppt Femizide! Würzburg,https://www.instagram.com/stoppt.femizide.wuerzburg,,federation/coalition/networking,village/town/city,village/town/city,Würzburg,Dach vernetzung gegen feminizid,,
001727595775,frau-kunst-politik e.V.,https://frau-kunst-politik.de,,,,country,Germany,Dach vernetzung gegen feminizid,,
03021864615,Der Kurdische Frauenrat Dest Dan e.V.,,,,country,country,Germany,Dach vernetzung gegen feminizid,,
04053536645,Stoppt Femi(ni)zide Bremen,https://www.instagram.com/stoppt_femizide_bremen,,,,village/town/city,Bremen,Dach vernetzung gegen feminizid,,
04389126934,Initiative gegen Feminizide Kassel,gegenfeminizidekassel.wordpress.com,,,village/town/city,village/town/city,Kassel,Dach vernetzung gegen feminizid,,
08239796943,Netzwerk gegen Feminizide Göttingen,https://www.instagram.com/netzwerkgegenfeminizide.goe,,,,village/town/city,Göttingen,Dach vernetzung gegen feminizid,,
06416724845,Catcalls of Mainz als Teil von Chalk Back Deutschland e. V.,https://chalkbackdeutschland.org/,,,,village/town/city,Mainz,Dach vernetzung gegen feminizid,,
001991508604,Claim The Space,https://www.instagram.com/claimthespace_vie,,,,,,Dach vernetzung gegen feminizid,,
06368133271,FAK: Feministisches Aktions Kollektiv,https://www.frauenvernetzung.tirol/fak-feministisches-aktionskollektiv-2/,,,,,,Dach vernetzung gegen feminizid,,
07453846169,Ni una menos Basel,www.gegen-feminizide.ch,,,,village/town/city,Basel,"Dach vernetzung gegen feminizid, Ni una menos",,
05397144475,Offensiv gegen Feminizide,https://www.instagram.com/offensiv_gegen_feminizide,,,,,,Dach vernetzung gegen feminizid,,
,Ni una menos,https://niunamenos.org.ar/,,decentralized movement,,world,,,,
01500418526,Ni una menos Zürich,https://www.instagram.com/niunamenoszurich,,,,village/town/city,Zürich,"Dach vernetzung gegen feminizid, Ni una menos",,
07206671404,Anti-Feminizid-Netzwerk Hamburg,,,,,village/town/city,Hamburg,Dach vernetzung gegen feminizid,,
06781213974,Frauen helfen Frauen e. V.,,,,,country,Germany,Dach vernetzung gegen feminizid,,
09637861933,Netzwerk gegen Feminizide Hannover,https://www.instagram.com/netzwerk_gegen_feminizide_h,"educational workshops, demonstrations, performances",direct action group,village/town/city,village/town/city,Hannover,Dach vernetzung gegen feminizid,,
06124117687,Netzwerk gegen Feminizide Berlin,https://wirwollenunslebend.wixsite.com/netzwerkggnfeminizid,,,,village/town/city,Berlin,Dach vernetzung gegen feminizid,,
